substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification,struct_rep,cat_rep
100000,7.812499999994028,0.000078125,1550.8931801019328,622.0112990249991,0.8418194596880126,Viable,0.17868761602225192,0.07745910708060395
101000,7.890624999993957,0.000078125,1548.1965749006351,621.7415237876236,0.8406708217816821,Viable,0.18031837766266978,0.07838683178740392
102000,7.968749999993886,0.000078125,1545.506578572548,621.4688624277509,0.8395183698432567,Viable,0.18194630483843938,0.07931810544177179
103000,8.046874999993815,0.000078125,1542.8231693362636,621.1933099414575,0.8383621728033454,Viable,0.1835714044933647,0.08025293322758555
104000,8.124999999993744,0.000078125,1540.146325457751,620.9148624220778,0.8372022976429664,Viable,0.18519368354835028,0.08119132001975093
105000,8.203124999993673,0.000078125,1537.476025246279,620.6335138255756,0.8360388137592522,Viable,0.18681314890145126,0.08213327037624973
106000,8.281249999993602,0.000078125,1534.8122470557098,620.3492604437761,0.8348717869405204,Viable,0.18842980742791715,0.08307878854395459
107000,8.35937499999353,0.000078125,1532.1549692850074,620.0620974578309,0.8337012840122994,Viable,0.1900436659802422,0.08402787846238995
108000,8.43749999999346,0.000078125,1529.5041703783488,619.7720216526689,0.8325273691966477,Viable,0.1916547313882094,0.08498054376641899
109000,8.515624999993388,0.000078125,1526.8598288279231,619.4790290365254,0.8313501073108112,Viable,0.19326301045894323,0.08593678779635368
110000,8.593749999993317,0.000078125,1524.2219231679471,619.1831149498701,0.8301695636198091,Viable,0.19486850997695393,0.0868966135840079
111000,8.671874999993246,0.000078125,1521.590431981944,618.8842804451544,0.8289857953323286,Viable,0.19647123670418631,0.087860023875017
112000,8.749999999993175,0.000078125,1518.9653339055703,618.5825201253656,0.8277988678230642,Viable,0.1980711973800748,0.08882702113862177
113000,8.828124999993104,0.000078125,1516.3466076196473,618.2778365760688,0.8266088354165022,Viable,0.19966839872159198,0.08979760755129691
114000,8.906249999993033,0.000078125,1513.7342318521198,617.9702192899013,0.8254157694341636,Viable,0.20126284742330192,0.09077178500425168
115000,8.984374999992962,0.000078125,1511.1281853660532,617.659665185041,0.8242197308775376,Viable,0.20285455015739742,0.0917495550731976
116000,9.062499999992891,0.000078125,1508.5284469728917,617.346173488334,0.8230207772582226,Viable,0.20444351357374732,0.09273091905654307
117000,9.14062499999282,0.000078125,1505.9349955314838,617.0297407099633,0.8218189692989106,Viable,0.2060297442999455,0.09371587797487103
118000,9.218749999992749,0.000078125,1503.3478099464035,616.710366382013,0.8206143632997216,Viable,0.20761324894136168,0.09470443256900694
119000,9.296874999992678,0.000078125,1500.7668691773179,616.3880517647731,0.8194070128857794,Viable,0.2091940340811925,0.09569658332764365
120000,9.374999999992607,0.000078125,1498.1921522270436,616.0627920802971,0.8181969792540511,Viable,0.21077210628051485,0.09669233045696822
121000,9.453124999992536,0.000078125,1495.6236381475846,615.7345871635382,0.8169843171089458,Viable,0.2123474720783338,0.09769167389910834
122000,9.531249999992465,0.000078125,1493.061306034293,615.4034338182137,0.8157690847703308,Viable,0.213920137991632,0.09869461331878794
123000,9.609374999992394,0.000078125,1490.5051350294407,615.0693313188652,0.8145513369028552,Viable,0.21549011051541403,0.09970114811496385
124000,9.687499999992323,0.000078125,1487.9551043270155,614.7322814504098,0.8133311244860759,Viable,0.2170573961227622,0.10071127743624814
125000,9.765624999992252,0.000078125,1485.4111931682633,614.3922815410145,0.812108503983873,Viable,0.21862200126488843,0.10172500017089105
126000,9.84374999999218,0.000078125,1482.8733808413415,614.0493307279538,0.810883529102254,Viable,0.22018393237118014,0.10274231494773654
127000,9.92187499999211,0.000078125,1480.341646680601,613.7034283625766,0.8096562528898693,Viable,0.22174319584925378,0.10376322013687225
128000,9.999999999992038,0.000078125,1477.8159700690007,613.3545744572591,0.808426727156344,Viable,0.22329979808500086,0.10478771385778454
129000,10.078124999991967,0.000078125,1475.2963304383616,613.0027693203755,0.8071950029571793,Viable,0.22485374544264214,0.10581579398255962
130000,10.156249999991896,0.000078125,1472.7827072700093,612.6480135376556,0.8059611306228142,Viable,0.2264050442647767,0.1068474581393852
131000,10.234374999991825,0.000078125,1470.2750800947215,612.2903084892935,0.8047251590889394,Viable,0.22795370087243716,0.10788270371477625
132000,10.312499999991754,0.000078125,1467.7734284972266,611.9296561921217,0.8034871361072273,Viable,0.22949972156514017,0.10892152786754053
133000,10.390624999991683,0.000078125,1465.277732108658,611.5660554987795,0.8022471132166518,Viable,0.23104311262094449,0.10996392751082755
134000,10.468749999991612,0.000078125,1462.787970608139,611.1995075006128,0.8010051386780631,Viable,0.2325838802964951,0.11100989931800782
135000,10.546874999991541,0.000078125,1460.3041237248183,610.8300136435071,0.7997612599449017,Viable,0.23412203082707936,0.11205943973039735
136000,10.62499999999147,0.000078125,1457.8261712392773,610.4575774437212,0.7985155214350497,Viable,0.23565757042667637,0.1131125449632108
137000,10.703124999991399,0.000078125,1455.354092987984,610.082200549318,0.7972679696704763,Viable,0.23719050528801613,0.11416921101944204
138000,10.781249999991328,0.000078125,1452.8878688520717,609.7038827822023,0.7960186532115738,Viable,0.23872084158263263,0.11522943366171044
139000,10.859374999991257,0.000078125,1450.4274787619283,609.32262603134,0.7947676175952498,Viable,0.24024858546091177,0.11629320842646149
140000,10.937499999991186,0.000078125,1447.97290269883,608.9384326947436,0.7935149073681402,Viable,0.2417737430521439,0.11736053063040551
141000,11.015624999991115,0.000078125,1445.5241206949156,608.551304913939,0.7922605670885959,Viable,0.2432963204645804,0.11843139537260838
142000,11.093749999991044,0.000078125,1443.081112833666,608.1612461830755,0.7910046392382261,Viable,0.2448163237854825,0.1195057975374436
143000,11.171874999990973,0.000078125,1440.6438592526963,607.7682592615491,0.7897471669383073,Viable,0.24633375908118124,0.12058373180435573
144000,11.249999999990902,0.000078125,1438.2123401410663,607.372348425985,0.788488191037211,Viable,0.24784863239712954,0.12166519264238035
145000,11.32812499999083,0.000078125,1435.7865357385829,606.9735143151394,0.7872277567727216,Viable,0.24936094975796003,0.1227501743105099
146000,11.40624999999076,0.000078125,1433.3664263342373,606.5717600857192,0.7859659058150642,Viable,0.2508707171675345,0.1238386708548892
147000,11.484374999990688,0.000078125,1430.951992268818,606.1670890288511,0.7847026793561738,Viable,0.25237794060899715,0.12493067611805235
148000,11.562499999990617,0.000078125,1428.5432139371185,605.7595092119095,0.7834381121502599,Viable,0.25388262604483036,0.12602618374695487
149000,11.640624999990546,0.000078125,1426.1400718040168,605.3490300737587,0.7821722369174879,Viable,0.2553847794169207,0.12712518723869695
150000,11.718749999990475,0.000078125,1423.7425463858815,604.9356504179211,0.7809050997572125,Viable,0.2568844066466239,0.1282276798919427
151000,11.796874999990404,0.000078125,1421.3506182345777,604.5193679179671,0.7796367478596217,Viable,0.25838151363481116,0.12933365476470154
152000,11.874999999990333,0.000078125,1418.9642679497865,604.1001865564355,0.778367220040789,Viable,0.2598761062619095,0.13044310470992326
153000,11.953124999990262,0.000078125,1416.5834761836925,603.6781104696161,0.7770965546309889,Viable,0.2613681903879563,0.13155602239006947
154000,12.031249999990191,0.000078125,1414.2082236409733,603.2531440278436,0.775824789374455,Viable,0.26285777185265435,0.1326724002792138
155000,12.10937499999012,0.000078125,1411.8384910796497,602.8252919305653,0.7745519613107373,Viable,0.26434485647542816,0.13379223066675786
156000,12.187499999990049,0.000078125,1409.4742593114847,602.3945593870405,0.7732781065480113,Viable,0.26582945005548,0.13491550566057578
157000,12.265624999989978,0.000078125,1407.1155092011222,601.9609507494408,0.7720032620216883,Viable,0.2673115583718472,0.1360422171867778
158000,12.343749999989907,0.000078125,1404.7622216747054,601.5244777307131,0.7707274550677007,Viable,0.2687911871834574,0.1371723570149799
159000,12.421874999989836,0.000078125,1402.4143777094084,601.0851378157383,0.7694507307664126,Viable,0.27026834222919527,0.13830591673154563
160000,12.499999999989765,0.000078125,1400.071958328324,600.6429364223698,0.768173123866506,Viable,0.27174302922794885,0.13944288772684726
161000,12.578124999989694,0.000078125,1397.73494460875,600.1978790677335,0.7668946687248722,Viable,0.2732152538786636,0.14058326122005846
162000,12.656249999989623,0.000078125,1395.4033176819319,599.7499713381427,0.7656153993495901,Viable,0.2746850218603962,0.1417270282602713
163000,12.734374999989551,0.000078125,1393.077058732307,599.2992180654735,0.7643353504453573,Viable,0.27615233883237744,0.1428741797263705
164000,12.81249999998948,0.000078125,1390.756149000253,598.8456301456736,0.7630545488147404,Viable,0.27761721043406123,0.14402470633626938
165000,12.89062499998941,0.000078125,1388.4405697934699,598.3892129827274,0.7617730279158825,Viable,0.27907964228519766,0.14517859868012475
166000,12.968749999989338,0.000078125,1386.130302460543,597.9299680735137,0.7604908258721463,Viable,0.2805396399858855,0.1463358471488189
167000,13.046874999989267,0.000078125,1383.8253284008533,597.467900626091,0.7592079758850667,Viable,0.28199720911662174,0.14749644196356482
168000,13.124999999989196,0.000078125,1381.5256290671687,597.003016850487,0.7579245096317911,Viable,0.2834523552383532,0.14866037318438413
169000,13.203124999989125,0.000078125,1379.2311859666395,596.5353230248157,0.7566404584562832,Viable,0.2849050838925399,0.14982763071503288
170000,13.281249999989054,0.000078125,1376.9419806616827,596.0648264642842,0.755355852144939,Viable,0.28635540060120646,0.1509982043064412
171000,13.359374999988983,0.000078125,1374.6579947699993,595.5915328965418,0.7540707222535539,Viable,0.28780331086700306,0.1521720835591195
172000,13.437499999988912,0.000078125,1372.379209961917,595.1154486186308,0.7527850993741756,Viable,0.2892488201732604,0.15334925791736415
173000,13.515624999988841,0.000078125,1370.105607965734,594.6365840410064,0.7514990086911577,Viable,0.2906919339840513,0.1545297166857247
174000,13.59374999998877,0.000078125,1367.8371705700483,594.154945564174,0.7502124801956248,Viable,0.29213265774424885,0.15571344903693485
